Education Type,Industry,Age,CoW,Education,Marital,Occupation,PoB,Hours,Sex,Race,State,Income,Log Income,Rank,Log Rank
Bachelor's degree,LGL,27, Private Employee,21,One of Single,2360,US,40,Male,White,New York,41000,10.62132735,2315,7.747164967
Bachelor's degree,MGR,48, Private Employee,21,Married,120,US,40,Male,White,Colorado,82000,11.31447453,864,6.761572769
high-school,LGL,40, Private Employee,17,Divorced,6260,US,55,Male,White,California,108400,11.59358337,534,6.280395839
Associate's degree,LGL,40, Private Employee,20,Married,7020,US,40,Male,White,Pennsylvania,55000,10.91508846,1632,7.397561536
Bachelor's degree,LGL,53,Self-Employed,21,Married,2751,US,60,Female,White,California,32000,10.37349118,2855,7.956827122
Bachelor's degree,LGL,47,Government Employee,21,Divorced,2310,US,45,Female,White,Mississippi,23900,10.08163374,3477,8.153925132
high-school,LGL,30, Private Employee,16,One of Single,9130,US,55,Male,White,Texas,50000,10.81977828,1785,7.487173694
Bachelor's degree,MGR,55,Government Employee,21,Married,150,US,40,Female,White,Virginia,139000,11.84222921,333,5.80814249
high-school,LGL,43, Private Employee,16,One of Single,6200,non US,40,Male,White,New York,50000,10.81977828,1785,7.487173694
Master's degree,FIN,28, Private Employee,22,One of Single,830,US,60,Male,White,New York,120000,11.69524702,415,6.02827852
Associate's degree,CMM,40, Private Employee,20,Married,1021,US,60,Male,non White,Nevada,60000,11.00209984,1409,7.250635512
high-school,LGL,27, Private Employee,16,One of Single,5400,US,40,Female,non White,Alaska,10000,9.210340372,4271,8.359603271
no diploma,LGL,53, Private Employee,7,Married,4220,non US,40,Male,White,Florida,21000,9.952277717,3599,8.188411308
Associate's degree,LGL,57, Private Employee,20,Divorced,4720,US,32,Female,White,Hawaii,19600,9.883284845,3745,8.228176896
post-high-school,LGL,64, Private Employee,19,Married,8130,US,45,Male,White,Indiana,45000,10.71441777,2100,7.649692624
Master's degree,LGL,26,Government Employee,22,One of Single,9830,non US,40,Female,non White,Virginia,74400,11.21721122,1060,6.966024187
post-high-school,LGL,52, Private Employee,19,Married,5522,US,40,Female,White,Utah,65000,11.08214255,1263,7.141245122
Associate's degree,LGL,43, Private Employee,20,Divorced,5000,US,40,Female,White,California,33800,10.42821608,2813,7.942006808
post-high-school,LGL,56, Private Employee,19,Married,2145,US,70,Female,White,Pennsylvania,75720,11.23479761,997,6.90475077
high-school,LGL,32, Private Employee,17,Married,8140,US,40,Male,White,Texas,56000,10.93310697,1595,7.374629015
post-high-school,LGL,78,Self-Employed,19,Married,7240,US,15,Male,White,Illinois,56600,10.94376426,1586,7.368970402
no diploma,LGL,18,Government Employee,15,One of Single,8320,US,24,Female,White,Idaho,3000,8.006367568,4724,8.460411177
no diploma,LGL,36, Private Employee,12,One of Single,9130,US,40,Male,White,Washington,5400,8.594154233,4571,8.427487278
Doctorate degree,CMS,46,Self-Employed,24,Married,2004,US,40,Female,White,Washington,75000,11.22524339,1002,6.909753282
Master's degree,BUS,35, Private Employee,22,Married,705,non US,40,Male,non White,California,161080,11.98965641,247,5.509388337
Bachelor's degree,MGR,30, Private Employee,21,Married,51,US,50,Female,White,Massachusetts,67000,11.1124479,1226,7.111512116
high-school,LGL,66, Private Employee,16,Married,4020,non US,40,Male,non White,Nevada,42100,10.64780302,2254,7.720461695
high-school,LGL,33, Private Employee,16,One of Single,2300,US,40,Female,non White,Texas,14000,9.546812609,4064,8.309922989
high-school,LGL,25,Government Employee,16,One of Single,3802,US,40,Male,non White,Nevada,46000,10.73639668,2057,7.62900389
Bachelor's degree,MGR,36,Self-Employed,21,Married,20,non US,70,Male,non White,Pennsylvania,75000,11.22524339,1002,6.909753282
high-school,LGL,42, Private Employee,17,Married,4020,US,32,Male,White,Oregon,20600,9.933046355,3629,8.196712407
high-school,LGL,45, Private Employee,17,Married,4030,US,25,Male,White,Indiana,8000,8.987196821,4405,8.390495538
high-school,LGL,30, Private Employee,16,One of Single,3930,non US,40,Male,White,California,30000,10.30895266,2949,7.989221409
Master's degree,LGL,25,Government Employee,22,One of Single,2350,US,40,Male,non White,Colorado,25000,10.1266311,3296,8.100464891
Associate's degree,BUS,55, Private Employee,20,Married,630,US,50,Female,White,Pennsylvania,46300,10.74289724,2047,7.624130586
Bachelor's degree,MGR,31, Private Employee,21,One of Single,120,US,40,Male,White,New York,70000,11.15625052,1135,7.03438793
Associate's degree,LGL,39, Private Employee,20,Married,9620,US,50,Male,White,Kansas,49800,10.81577026,1925,7.562681247
Master's degree,MGR,58,Government Employee,22,Married,110,US,40,Male,White,New York,112600,11.63159699,492,6.198478716
Bachelor's degree,LGL,37, Private Employee,21,Married,2640,non US,45,Female,White,Texas,57000,10.95080655,1564,7.355001921
Master's degree,LGL,68, Private Employee,22,Married,2545,US,3,Female,White,Massachusetts,30600,10.32875529,2932,7.983440063
post-high-school,LGL,19, Private Employee,19,One of Single,4251,US,40,Male,White,California,10000,9.210340372,4271,8.359603271
Associate's degree,ENG,46, Private Employee,20,One of Single,1460,US,40,Male,White,Michigan,78000,11.26446411,952,6.858565035
Bachelor's degree,ENG,61, Private Employee,21,Married,1350,US,60,Male,White,Arizona,141000,11.85651517,319,5.765191103
post-high-school,LGL,62, Private Employee,18,Separated,6260,US,40,Male,White,Missouri,23000,10.04324949,3498,8.159946656
post-high-school,LGL,26, Private Employee,18,Married,3603,US,24,Male,White,Nebraska,9000,9.104979856,4365,8.381373468
high-school,LGL,37, Private Employee,16,Divorced,4720,US,15,Female,non White,Georgia,8000,8.987196821,4405,8.390495538
high-school,LGL,58,Government Employee,16,Married,2545,US,28,Female,White,Ohio,20000,9.903487553,3651,8.202756382
Associate's degree,LGL,52, Private Employee,20,Married,7040,US,43,Male,non White,Alabama,80000,11.28978191,893,6.794586581
high-school,LGL,37, Private Employee,16,One of Single,6442,non US,45,Male,non White,Texas,67000,11.1124479,1226,7.111512116
Bachelor's degree,MGR,28, Private Employee,21,Married,52,US,40,Male,White,New Jersey,266000,12.49125159,104,4.644390899
Associate's degree,LGL,28, Private Employee,20,One of Single,4600,US,8,Female,White,Tennesse,1500,7.313220387,4877,8.492285556
Bachelor's degree,LGL,73, Private Employee,21,Married,3050,US,40,Male,White,Texas,175100,12.07311252,214,5.365976015
high-school,LGL,28, Private Employee,16,One of Single,4720,US,40,Female,White,Oklahoma,20800,9.942708266,3620,8.194229305
no diploma,LGL,47, Private Employee,1,Married,4510,non US,50,Female,non White,California,24000,10.08580911,3408,8.133880888
high-school,LGL,55, Private Employee,16,Married,5000,US,40,Female,White,Michigan,28600,10.261162,3120,8.045588281
high-school,CMM,22, Private Employee,16,Married,1050,non US,10,Male,non White,New York,2500,7.824046011,4782,8.472614148
Bachelor's degree,CMM,35, Private Employee,21,Divorced,1006,US,40,Male,White,Texas,50000,10.81977828,1785,7.487173694
no diploma,LGL,17,Government Employee,14,One of Single,4720,US,20,Male,White,Washington,2000,7.60090246,4811,8.478660242
Associate's degree,LGL,31,Self-Employed,20,Separated,6260,US,40,Male,White,Texas,30000,10.30895266,2949,7.989221409
post-high-school,LGL,67, Private Employee,18,Married,6305,US,60,Male,White,New Mexico,70000,11.15625052,1135,7.03438793
post-high-school,LGL,30, Private Employee,19,Married,7330,non US,50,Male,non White,Ohio,68000,11.12726298,1211,7.099201744
post-high-school,FIN,28, Private Employee,19,One of Single,910,US,50,Female,White,California,60000,11.00209984,1409,7.250635512
high-school,LGL,34, Private Employee,17,One of Single,8950,US,38,Male,White,Louisiana,22300,10.01234196,3534,8.170185653
Bachelor's degree,LGL,52, Private Employee,21,Married,2310,US,40,Female,White,California,70000,11.15625052,1135,7.03438793
Bachelor's degree,LGL,59, Private Employee,21,Married,3255,US,32,Female,White,Michigan,85000,11.35040654,811,6.698268054
no diploma,LGL,32, Private Employee,13,One of Single,7315,US,16,Male,non White,Michigan,14000,9.546812609,4064,8.309922989
no diploma,LGL,45,Self-Employed,15,Married,9130,US,60,Male,White,Indiana,290000,12.5776362,91,4.510859507
Bachelor's degree,BUS,41, Private Employee,21,Married,735,US,50,Male,non White,Michigan,90000,11.40756495,740,6.606650186
Professional degree,LGL,40,Self-Employed,23,Married,3010,US,40,Male,White,Washington,248000,12.42118403,120,4.787491743
post-high-school,LGL,20, Private Employee,19,One of Single,5860,US,8,Male,White,Oklahoma,4500,8.411832676,4643,8.443115988
Associate's degree,LGL,38, Private Employee,20,One of Single,5300,US,50,Male,White,Kansas,38000,10.54534144,2526,7.834392303
post-high-school,LGL,53, Private Employee,19,Married,4760,US,40,Male,White,Texas,19000,9.852194258,3767,8.234034208
no diploma,LGL,17, Private Employee,11,One of Single,4230,US,20,Female,White,Utah,2000,7.60090246,4811,8.478660242
Professional degree,BUS,66, Private Employee,23,Married,565,US,60,Male,White,Arizona,412000,12.92877863,60,4.094344562
Bachelor's degree,MGR,37, Private Employee,21,Married,420,US,46,Female,White,Ohio,47000,10.75790288,2025,7.61332498
Master's degree,LGL,43,Government Employee,22,Married,2350,US,22,Female,White,Oregon,3000,8.006367568,4724,8.460411177
high-school,LGL,57, Private Employee,16,Divorced,4720,US,30,Female,White,Florida,26500,10.18490001,3230,8.080237416
high-school,LGL,34,Self-Employed,17,Married,4600,US,30,Female,non White,Nevada,36000,10.49127422,2625,7.872836175
high-school,LGL,23, Private Employee,16,One of Single,7720,US,30,Male,White,Arizona,5000,8.517193191,4584,8.430327258
Associate's degree,LGL,44, Private Employee,20,Married,7330,US,40,Male,White,Georgia,60000,11.00209984,1409,7.250635512
high-school,LGL,62, Private Employee,16,Married,5740,US,40,Female,White,New Hampshire,38000,10.54534144,2526,7.834392303
Master's degree,MGR,57, Private Employee,22,Separated,350,US,40,Female,White,California,120000,11.69524702,415,6.02827852
Bachelor's degree,LGL,47,Government Employee,21,Married,2310,US,16,Female,White,Texas,10000,9.210340372,4271,8.359603271
post-high-school,LGL,27, Private Employee,19,One of Single,5522,US,40,Female,White,South Carolina,35000,10.46310334,2685,7.895436007
post-high-school,LGL,47,Government Employee,18,Married,5860,US,25,Female,White,Florida,20000,9.903487553,3651,8.202756382
post-high-school,LGL,65, Private Employee,18,Married,4220,US,6,Male,non White,Virginia,35500,10.47728798,2679,7.89319887
Professional degree,LGL,67,Government Employee,23,Married,3255,US,12,Female,White,Iowa,30600,10.32875529,2932,7.983440063
Bachelor's degree,CMS,48, Private Employee,21,Married,2014,US,52,Female,White,Missouri,42000,10.6454249,2257,7.721791777
Bachelor's degree,ENG,22, Private Employee,21,One of Single,1530,US,40,Male,White,Tennesse,6000,8.699514748,4511,8.414274137
Master's degree,MGR,57,Government Employee,22,Divorced,440,US,40,Male,White,Washington,120000,11.69524702,415,6.02827852
Master's degree,LGL,58, Private Employee,22,Widowed,5740,US,40,Female,White,Texas,50000,10.81977828,1785,7.487173694
post-high-school,LGL,62,Government Employee,19,Married,5860,US,40,Female,White,Florida,45500,10.7254676,2087,7.643482907
Bachelor's degree,LGL,28, Private Employee,21,One of Single,3550,non US,32,Male,non White,Colorado,36000,10.49127422,2625,7.872836175
high-school,LGL,75, Private Employee,16,Married,5350,US,8,Female,White,South Dakota,7750,8.955448122,4451,8.400884069
post-high-school,BUS,18, Private Employee,18,One of Single,726,US,20,Male,White,Washington,6500,8.779557456,4495,8.410720947
Bachelor's degree,LGL,63, Private Employee,21,Married,4760,US,40,Male,White,Florida,50800,10.83565163,1775,7.481555702
post-high-school,LGL,63, Private Employee,19,Married,8610,US,50,Male,White,Wisconsin,59000,10.98529272,1517,7.324489979
no diploma,LGL,28, Private Employee,13,One of Single,6442,US,40,Male,White,Mississippi,4000,8.29404964,4666,8.448057453
post-high-school,FIN,20, Private Employee,19,One of Single,800,US,40,Male,White,Iowa,17000,9.740968623,3877,8.262816938
post-high-school,LGL,54, Private Employee,19,Divorced,2310,non US,6,Female,White,Texas,13200,9.487972109,4101,8.318986125
high-school,LGL,42, Private Employee,16,Married,9130,US,50,Male,White,Michigan,62000,11.03488966,1356,7.212294469
post-high-school,LGL,44,Government Employee,18,Married,5550,US,60,Female,White,Texas,40000,10.59663473,2353,7.763446389
Master's degree,CMM,64, Private Employee,22,Married,1006,US,40,Female,White,New York,95000,11.46163217,693,6.541029999
Bachelor's degree,LGL,54, Private Employee,21,Married,4710,US,40,Male,White,South Carolina,160000,11.98292909,254,5.537334267
Bachelor's degree,LGL,50, Private Employee,21,Married,2320,US,35,Male,White,Virginia,88000,11.38509209,781,6.66057515
high-school,LGL,61, Private Employee,16,Married,4720,US,25,Female,White,Wisconsin,18000,9.798127037,3810,8.245384468
high-school,LGL,59, Private Employee,16,Married,5740,US,50,Female,White,Maryland,46400,10.74505474,2044,7.622663951
no diploma,LGL,58,Self-Employed,13,Married,6260,US,10,Male,White,Puerto Rico,300,5.703782475,4984,8.51398806
Bachelor's degree,LGL,24, Private Employee,21,One of Single,5160,US,40,Male,non White,California,50000,10.81977828,1785,7.487173694
Professional degree,LGL,71, Private Employee,23,Married,2752,US,2,Male,White,New Hampshire,42290,10.65230593,2253,7.72001794
high-school,LGL,45, Private Employee,17,Married,7340,US,40,Male,White,New York,40000,10.59663473,2353,7.763446389
post-high-school,LGL,57, Private Employee,19,Married,7750,US,40,Male,White,Oregon,40000,10.59663473,2353,7.763446389
high-school,LGL,20, Private Employee,16,One of Single,4110,US,18,Female,White,Texas,10000,9.210340372,4271,8.359603271
Master's degree,CMM,46,Government Employee,22,Married,1050,US,45,Female,White,Virginia,43000,10.66895539,2221,7.705712824
Bachelor's degree,MGR,55,Self-Employed,21,Married,440,US,40,Female,White,New York,70000,11.15625052,1135,7.03438793
Associate's degree,LGL,33, Private Employee,20,Married,7810,US,40,Male,non White,Hawaii,65000,11.08214255,1263,7.141245122
post-high-school,LGL,20, Private Employee,18,One of Single,8950,US,26,Male,White,Virginia,1600,7.377758908,4869,8.490643856
high-school,LGL,22, Private Employee,16,One of Single,4020,US,53,Male,White,Nebraska,26500,10.18490001,3230,8.080237416
high-school,MGR,58, Private Employee,16,Divorced,20,US,50,Male,White,Mississippi,131500,11.78676213,356,5.874930731
Master's degree,LGL,52, Private Employee,22,Married,3245,US,35,Female,White,Mississippi,42000,10.6454249,2257,7.721791777
high-school,LGL,27, Private Employee,17,Married,6250,US,50,Male,non White,Louisiana,24000,10.08580911,3408,8.133880888
high-school,MGR,61, Private Employee,16,Married,120,US,40,Male,White,Louisiana,50000,10.81977828,1785,7.487173694
Bachelor's degree,LGL,50,Self-Employed,21,One of Single,4810,US,40,Male,White,California,55500,10.9241383,1624,7.392647521
Associate's degree,LGL,52,Government Employee,20,Married,3870,US,80,Male,non White,Ohio,47400,10.76637751,2016,7.608870629
Bachelor's degree,BUS,22, Private Employee,21,One of Single,726,US,40,Male,non White,Arizona,11050,9.310185707,4235,8.351138607
Bachelor's degree,LGL,45, Private Employee,21,Married,2633,US,40,Female,White,Ohio,30000,10.30895266,2949,7.989221409
Associate's degree,LGL,51, Private Employee,20,Married,4850,non US,40,Male,White,California,20000,9.903487553,3651,8.202756382
Associate's degree,LGL,31, Private Employee,20,Married,3255,US,38,Female,White,Texas,50000,10.81977828,1785,7.487173694
Associate's degree,LGL,58, Private Employee,20,Married,9130,US,60,Male,White,Iowa,81000,11.30220443,880,6.779921907
high-school,MGR,55, Private Employee,16,Married,10,non US,40,Male,White,Ohio,215250,12.27955542,147,4.990432587
Bachelor's degree,BUS,54, Private Employee,21,Married,705,US,40,Female,White,Minnesota,150000,11.91839057,275,5.616771098
Associate's degree,LGL,43, Private Employee,20,Married,2910,US,40,Female,White,California,37000,10.51867319,2596,7.861727078
high-school,LGL,31, Private Employee,16,Married,4750,non US,40,Male,White,Florida,30000,10.30895266,2949,7.989221409
high-school,LGL,36, Private Employee,16,One of Single,9620,US,40,Male,White,California,35000,10.46310334,2685,7.895436007
high-school,LGL,42,Self-Employed,16,Married,4400,non US,50,Male,White,California,100000,11.51292546,592,6.383506635
Bachelor's degree,CMS,41, Private Employee,21,Married,2014,US,40,Female,White,Massachusetts,76000,11.23848862,992,6.899723107
high-school,LGL,46, Private Employee,16,Married,7150,US,40,Male,White,Alabama,52000,10.858999,1718,7.448916103
no diploma,MGR,57, Private Employee,15,Married,20,US,40,Female,White,Nevada,97000,11.48246626,671,6.508769137
Master's degree,BUS,28, Private Employee,22,One of Single,630,US,45,Male,White,New Jersey,70000,11.15625052,1135,7.03438793
Bachelor's degree,MGR,21, Private Employee,21,One of Single,440,US,40,Male,White,California,18000,9.798127037,3810,8.245384468
Bachelor's degree,LGL,44,Government Employee,21,Married,2310,US,35,Female,White,Arkansas,3400,8.131530711,4708,8.457018468
Bachelor's degree,LGL,23, Private Employee,21,One of Single,4760,US,35,Male,non White,New Jersey,2000,7.60090246,4811,8.478660242
Associate's degree,LGL,61, Private Employee,20,Divorced,9130,US,50,Male,White,North Carolina,34000,10.4341158,2789,7.933438388
Master's degree,CMS,51,Government Employee,22,Married,2014,US,40,Female,White,New Mexico,194200,12.17664383,180,5.192956851
post-high-school,LGL,57, Private Employee,19,Divorced,5400,US,40,Female,White,Puerto Rico,19500,9.878169745,3747,8.228710799
Bachelor's degree,LGL,63, Private Employee,21,Married,9121,US,30,Male,White,New York,54000,10.89673933,1679,7.425953657
no diploma,LGL,17, Private Employee,13,One of Single,4720,US,15,Female,White,Virginia,5800,8.665613197,4562,8.425516403
high-school,LGL,19, Private Employee,16,One of Single,4160,US,30,Male,White,Arizona,10000,9.210340372,4271,8.359603271
Bachelor's degree,LGL,47,Government Employee,21,Divorced,2310,US,30,Female,White,Oklahoma,36000,10.49127422,2625,7.872836175
Master's degree,MGR,44, Private Employee,22,Married,120,non US,40,Male,non White,Virginia,75000,11.22524339,1002,6.909753282
Bachelor's degree,LGL,43,Self-Employed,21,Married,5510,non US,42,Female,White,Florida,20000,9.903487553,3651,8.202756382
Doctorate degree,CMS,50,Government Employee,24,Married,2002,US,50,Female,White,Texas,52000,10.858999,1718,7.448916103
no diploma,LGL,54, Private Employee,14,Married,4720,US,40,Female,White,Minnesota,23000,10.04324949,3498,8.159946656
Bachelor's degree,LGL,41,Government Employee,21,Married,2320,US,40,Female,White,Florida,43500,10.68051622,2211,7.701200181
high-school,LGL,42, Private Employee,16,Divorced,8990,US,40,Male,White,Tennesse,440000,12.99453001,43,3.761200116
high-school,LGL,49, Private Employee,16,Married,4710,US,42,Male,White,Arkansas,32500,10.38899537,2851,7.955425089
Bachelor's degree,ENG,32, Private Employee,21,One of Single,1305,US,50,Male,White,California,120500,11.69940503,411,6.018593214
post-high-school,LGL,21, Private Employee,19,One of Single,4720,US,28,Female,non White,Oklahoma,15000,9.61580548,3962,8.284504227
Master's degree,LGL,43, Private Employee,22,Married,2400,US,60,Male,White,Michigan,150000,11.91839057,275,5.616771098
Bachelor's degree,MGR,38,Self-Employed,21,Married,40,US,60,Male,White,California,110000,11.60823564,499,6.212606096
Bachelor's degree,LGL,22, Private Employee,21,One of Single,4540,US,10,Male,White,Massachusetts,8000,8.987196821,4405,8.390495538
high-school,LGL,29, Private Employee,16,Married,8990,US,40,Male,White,Massachusetts,56200,10.93667204,1593,7.37337431
post-high-school,LGL,37,Government Employee,18,Separated,9825,US,50,Male,White,California,54000,10.89673933,1679,7.425953657
high-school,LGL,22,Government Employee,16,Married,8140,US,40,Male,non White,New Jersey,24000,10.08580911,3408,8.133880888
high-school,LGL,23, Private Employee,16,One of Single,6515,US,40,Male,non White,California,21800,9.989665249,3578,8.182559264
post-high-school,LGL,60, Private Employee,19,Married,4840,US,40,Female,White,Pennsylvania,61000,11.01862914,1387,7.23489842
high-school,LGL,60, Private Employee,16,Married,4030,US,45,Female,White,Minnesota,29000,10.27505111,3086,8.034631033
Bachelor's degree,LGL,31, Private Employee,21,One of Single,5940,US,40,Male,non White,California,12200,9.409191231,4147,8.33014046
no diploma,LGL,19, Private Employee,14,One of Single,7905,US,40,Male,White,Kansas,10000,9.210340372,4271,8.359603271
high-school,LGL,22, Private Employee,16,One of Single,4020,US,40,Female,White,Florida,10000,9.210340372,4271,8.359603271
Bachelor's degree,BUS,59, Private Employee,21,Widowed,735,non US,42,Female,White,Illinois,42000,10.6454249,2257,7.721791777
Associate's degree,LGL,55, Private Employee,20,Married,4810,US,32,Female,White,Iowa,50000,10.81977828,1785,7.487173694
post-high-school,LGL,47, Private Employee,18,Married,5350,US,48,Male,White,New York,46000,10.73639668,2057,7.62900389
high-school,MGR,54,Self-Employed,16,Separated,440,US,50,Male,White,Pennsylvania,12000,9.392661929,4149,8.33062262
Master's degree,FIN,57, Private Employee,22,Married,845,US,40,Male,White,Louisiana,105000,11.56171563,548,6.306275287
Associate's degree,LGL,39, Private Employee,20,Married,2722,US,35,Male,White,New York,35000,10.46310334,2685,7.895436007
Bachelor's degree,LGL,28, Private Employee,21,Married,6050,US,72,Male,White,Iowa,60000,11.00209984,1409,7.250635512
post-high-school,LGL,44,Self-Employed,19,Married,6260,US,40,Male,White,Minnesota,50000,10.81977828,1785,7.487173694
Bachelor's degree,MGR,47, Private Employee,21,Married,440,US,60,Male,White,New Jersey,120000,11.69524702,415,6.02827852
Bachelor's degree,LGL,23, Private Employee,21,One of Single,3422,US,40,Female,White,North Dakota,18000,9.798127037,3810,8.245384468
Professional degree,LGL,35, Private Employee,23,One of Single,5860,US,40,Male,White,Wisconsin,2000,7.60090246,4811,8.478660242
high-school,LGL,27, Private Employee,16,One of Single,4210,US,40,Male,White,Idaho,25000,10.1266311,3296,8.100464891
post-high-school,LGL,34,Government Employee,19,Separated,4220,non US,40,Male,non White,Maryland,43690,10.68487452,2207,7.699389406
Master's degree,LGL,46, Private Employee,22,One of Single,9150,non US,40,Male,non White,New York,21000,9.952277717,3599,8.188411308
no diploma,FIN,60, Private Employee,13,Married,910,US,40,Female,White,Utah,95000,11.46163217,693,6.541029999
Bachelor's degree,LGL,37, Private Employee,21,Married,2825,US,50,Male,White,Ohio,200000,12.20607265,163,5.093750201
no diploma,LGL,43,Self-Employed,14,Married,7200,non US,20,Male,non White,California,15000,9.61580548,3962,8.284504227
high-school,LGL,48, Private Employee,16,Married,6200,US,50,Male,White,New York,67700,11.12284146,1222,7.10824414
Associate's degree,LGL,60,Government Employee,20,Married,2435,US,35,Female,White,New Mexico,31000,10.34174248,2911,7.976251944
Master's degree,FIN,70, Private Employee,22,Married,940,US,50,Female,White,New York,23200,10.05190756,3489,8.157370441
Master's degree,MGR,36, Private Employee,22,Married,440,non US,60,Female,non White,Massachusetts,150000,11.91839057,275,5.616771098
high-school,LGL,60, Private Employee,16,Married,3423,US,40,Female,White,Maine,45000,10.71441777,2100,7.649692624
high-school,LGL,32, Private Employee,16,Married,6410,US,70,Male,White,Florida,25000,10.1266311,3296,8.100464891
high-school,LGL,59, Private Employee,16,Married,7840,non US,40,Male,White,North Carolina,23400,10.0604913,3486,8.156510226
post-high-school,LGL,28, Private Employee,18,One of Single,5240,US,22,Male,non White,Idaho,27640,10.22701928,3177,8.063692634
Bachelor's degree,LGL,52, Private Employee,21,Married,5740,US,40,Female,White,Pennsylvania,28000,10.23995979,3129,8.048468744
high-school,MGR,20, Private Employee,16,One of Single,440,US,40,Female,White,Utah,30000,10.30895266,2949,7.989221409
no diploma,LGL,24, Private Employee,12,One of Single,6260,US,40,Male,White,Indiana,95000,11.46163217,693,6.541029999
post-high-school,CMS,34, Private Employee,19,One of Single,2012,US,40,Female,White,New York,44200,10.69648007,2181,7.687538766
Bachelor's degree,LGL,48, Private Employee,21,Married,4820,US,40,Male,White,California,82700,11.32297488,861,6.758094504
post-high-school,LGL,25, Private Employee,19,One of Single,6260,US,20,Male,White,Rhode Island,10000,9.210340372,4271,8.359603271
post-high-school,LGL,61,Self-Employed,19,Divorced,2910,US,40,Male,non White,Tennesse,20000,9.903487553,3651,8.202756382
Master's degree,LGL,77, Private Employee,22,Married,2751,US,4,Male,White,Georgia,80300,11.2935249,886,6.786716951
post-high-school,LGL,21, Private Employee,19,One of Single,5240,US,45,Female,White,Massachusetts,26000,10.16585182,3241,8.083637203
Master's degree,LGL,60, Private Employee,22,Divorced,3255,non US,40,Female,White,Texas,80000,11.28978191,893,6.794586581
high-school,LGL,59, Private Employee,16,One of Single,4020,US,40,Female,White,New York,8000,8.987196821,4405,8.390495538
Bachelor's degree,LGL,28, Private Employee,21,Married,5240,US,40,Female,White,Indiana,18400,9.820105944,3799,8.242493153
post-high-school,LGL,44, Private Employee,19,Married,7200,non US,40,Male,non White,California,55000,10.91508846,1632,7.397561536
high-school,LGL,56, Private Employee,16,Married,8640,US,40,Male,White,Wisconsin,29000,10.27505111,3086,8.034631033
no diploma,LGL,60, Private Employee,1,Married,4330,non US,20,Female,non White,Florida,2000,7.60090246,4811,8.478660242
high-school,LGL,65, Private Employee,16,Married,4251,non US,10,Female,non White,Hawaii,12500,9.433483923,4136,8.327484416
high-school,LGL,70, Private Employee,16,Divorced,5860,US,40,Female,White,Louisiana,23600,10.06900199,3480,8.154787573
no diploma,LGL,43, Private Employee,11,Divorced,4720,US,20,Female,White,Georgia,11500,9.350102314,4220,8.347590407
Associate's degree,LGL,51, Private Employee,20,Married,5160,US,20,Female,White,Iowa,15000,9.61580548,3962,8.284504227
Associate's degree,LGL,59, Private Employee,20,Married,3255,US,50,Female,White,Illinois,71000,11.17043516,1117,7.018401799
high-school,LGL,20, Private Employee,16,One of Single,9610,US,40,Male,White,California,25000,10.1266311,3296,8.100464891
Bachelor's degree,LGL,65,Government Employee,21,Married,2545,US,34,Male,White,Iowa,34200,10.43998092,2787,7.932721027
high-school,LGL,25,Self-Employed,16,One of Single,4251,US,3,Male,White,Louisiana,1600,7.377758908,4869,8.490643856
Bachelor's degree,LGL,55, Private Employee,21,Married,4840,US,40,Male,White,California,24000,10.08580911,3408,8.133880888
Bachelor's degree,LGL,52,Government Employee,21,Married,3300,US,40,Female,White,Arizona,73000,11.19821472,1074,6.979145275
Bachelor's degree,LGL,71, Private Employee,21,One of Single,5000,US,1,Male,White,Wisconsin,21820,9.990582259,3577,8.182279739
Bachelor's degree,LGL,21, Private Employee,21,One of Single,9620,US,25,Male,White,Michigan,12000,9.392661929,4149,8.33062262
Associate's degree,LGL,30, Private Employee,20,Married,3603,US,32,Female,White,Idaho,30000,10.30895266,2949,7.989221409
Bachelor's degree,LGL,52, Private Employee,21,Married,5230,US,45,Male,White,Missouri,416000,12.93844054,55,4.007333185
high-school,LGL,25,Government Employee,16,One of Single,3801,US,40,Male,non White,Washington,29000,10.27505111,3086,8.034631033
Professional degree,LGL,50,Self-Employed,23,Widowed,8320,US,60,Female,White,New York,5000,8.517193191,4584,8.430327258
Bachelor's degree,LGL,39, Private Employee,21,One of Single,4700,US,40,Female,White,California,36000,10.49127422,2625,7.872836175
Bachelor's degree,BUS,36, Private Employee,21,Married,630,US,60,Male,White,New York,180000,12.10071213,193,5.262690189
no diploma,LGL,48, Private Employee,2,Married,3601,non US,40,Female,White,Florida,8800,9.082507,4383,8.3854887
Master's degree,LGL,62,Government Employee,22,Divorced,2555,US,40,Female,White,Florida,65000,11.08214255,1263,7.141245122
high-school,LGL,44,Government Employee,16,Married,5860,US,40,Female,White,California,65000,11.08214255,1263,7.141245122
Bachelor's degree,FIN,23, Private Employee,21,One of Single,800,non US,40,Male,non White,Florida,52000,10.858999,1718,7.448916103
Doctorate degree,LGL,70,Government Employee,24,One of Single,2205,US,6,Female,White,Missouri,50700,10.83368119,1777,7.482681828
high-school,LGL,50, Private Employee,16,Separated,4020,non US,40,Female,non White,New York,20000,9.903487553,3651,8.202756382
no diploma,LGL,19, Private Employee,14,One of Single,4720,US,30,Female,non White,Florida,2500,7.824046011,4782,8.472614148
high-school,LGL,53, Private Employee,16,Divorced,9130,US,70,Male,White,New York,102000,11.53272809,575,6.354370041
